OO Metrics,周六, 22 3月 2025 09:36:44 CST
Method,LOC,v(G)
"DiffFactor.DiffFactor(Expr, boolean)",4,1
DiffFactor.calFactor(),10,2
Expr.addTerm(Term),3,1
Expr.calExpr(),10,3
"ExprFactor.ExprFactor(Integer, Expr, boolean)",5,1
ExprFactor.calFactor(),11,2
Lexer.Lexer(String),52,15
Lexer.getCurToken(),3,1
Lexer.isTokenEnd(),3,1
Lexer.nextToken(),3,1
MainClass.main(String[]),27,4
"Monomial.Monomial(BigInteger, int, HashMap<Polynomial, Integer>, HashMap<Polynomial, Integer>)",9,3
Monomial.clone(),11,3
Monomial.comparable(Monomial),5,3
Monomial.derive(),56,8
Monomial.equals(Object),14,7
Monomial.hashCode(),4,1
Monomial.isZero(),3,1
Monomial.merge(Monomial),4,1
"Monomial.mergeMaps(HashMap<Polynomial, Integer>, HashMap<Polynomial, Integer>)",8,1
Monomial.multiply(Monomial),7,1
Monomial.toString(),58,17
"Num.Num(BigInteger, boolean)",4,1
Num.calFactor(),13,3
Parser.Parser(Lexer),3,1
Parser.parseDiffFactor(boolean),7,1
Parser.parseExponent(),17,4
Parser.parseExpr(),17,4
Parser.parseExprFactor(boolean),7,1
Parser.parseFactor(boolean),24,8
Parser.parseNum(boolean),5,1
Parser.parseTerm(boolean),9,3
Parser.parseTrigFactor(boolean),11,2
Parser.parseVar(boolean),7,1
Polynomial.Polynomial(HashSet<Monomial>),3,1
Polynomial.add(Polynomial),23,7
Polynomial.clone(),7,2
Polynomial.derive(),9,2
Polynomial.equals(Object),11,4
"Polynomial.getComparableMono(HashSet<Monomial>, Monomial)",10,3
Polynomial.hashCode(),4,1
Polynomial.multiply(Polynomial),21,6
Polynomial.power(int),12,3
Polynomial.toString(),11,3
"PreProcessor.parseBracketedContent(String, int)",20,5
"PreProcessor.preProcess(int, ArrayList<String>, int, HashMap<Character, String>, String)",14,4
"PreProcessor.replaceRes(String, ResFunction)",22,4
"PreProcessor.replaceSelf(String, SelfFunction)",21,4
PreProcessor.simplify(String),12,1
"ResFunction.ResFunction(HashMap<Character, String>)",7,1
ResFunction.calFormatExpr(int),23,3
ResFunction.createFormatExpr(),10,2
ResFunction.getReplaceFactor(String),21,6
ResFunction.parseInitDef(),15,3
ResFunction.parseLeft(String),13,3
ResFunction.parseResDef(),17,2
ResFunction.parseRight(String),38,7
"ResFunction.replace(int, String)",11,2
SelfFunction.SelfFunction(String),4,1
SelfFunction.getName(),3,1
SelfFunction.getReplaceFactor(String),21,6
SelfFunction.parseSelfDef(),19,3
SelfFunction.replace(String),10,2
Term.addFactor(Factor),3,1
Term.calTerm(),11,3
"Token.Token(Type, String)",4,1
Token.getContent(),3,1
Token.getType(),3,1
"TrigFactor.TrigFactor(int, Factor, Trig, boolean)",6,1
TrigFactor.calFactor(),16,4
"Var.Var(Integer, String, boolean)",5,1
Var.calFactor(),10,2

Class,CSA,Dcy,LOC,NOAC
DiffFactor,2,4,18,1
Expr,1,3,16,2
ExprFactor,3,4,21,1
Lexer,2,2,65,3
MainClass,0,5,29,1
Monomial,4,1,185,6
Num,2,3,21,1
Parser,1,12,110,9
Polynomial,1,1,114,5
PreProcessor,0,2,91,5
ResFunction,10,1,167,8
SelfFunction,6,0,65,4
Term,1,3,17,2
Token,2,1,14,2
Token.Type,13,0,3,2
TrigFactor,4,4,28,1
TrigFactor.Trig,4,0,3,2
Var,3,3,20,1

Interface,ISA,LOC
Factor,0,3

